id,game_set,game,game_class,a1,a2,a11,a12,a21,a22,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,y8,cell0,cell1,cell2,cell3
2144,2,14,4,3,3,6,-2,3,1,6,6,-2,3,3,-2,1,1,90,90,10,60,60,10,40,40,"[90, 90]","[10, 60]","[60, 10]","[40, 40]"
2154,2,15,4,1,3,4,-2,3,1,4,4,-2,3,3,-2,1,1,70,70,10,60,60,10,40,40,"[70, 70]","[10, 60]","[60, 10]","[40, 40]"
2164,2,16,4,1,1,4,0,3,1,4,4,0,3,3,0,1,1,70,70,30,60,60,30,40,40,"[70, 70]","[30, 60]","[60, 30]","[40, 40]"
3011,3,1,1,-1,1,2,0,3,1,2,2,0,3,3,0,1,1,50,50,30,60,60,30,40,40,"[50, 50]","[30, 60]","[60, 30]","[40, 40]"
3021,3,2,1,-1,3,2,0,3,3,2,2,0,3,3,0,3,3,50,50,30,60,60,30,60,60,"[50, 50]","[30, 60]","[60, 30]","[60, 60]"
3031,3,3,1,-3,3,0,0,3,3,0,0,0,3,3,0,3,3,30,30,30,60,60,30,60,60,"[30, 30]","[30, 60]","[60, 30]","[60, 60]"
3041,3,4,1,-3,1,0,0,3,1,0,0,0,3,3,0,1,1,30,30,30,60,60,30,40,40,"[30, 30]","[30, 60]","[60, 30]","[40, 40]"
3053,3,5,3,-3,-1,0,0,3,-1,0,0,0,3,3,0,-1,-1,30,30,30,60,60,30,20,20,"[30, 30]","[30, 60]","[60, 30]","[20, 20]"
3063,3,6,3,-3,-3,0,0,3,-3,0,0,0,3,3,0,-3,-3,30,30,30,60,60,30,0,0,"[30, 30]","[30, 60]","[60, 30]","[0, 0]"
3073,3,7,3,-1,-3,2,0,3,-3,2,2,0,3,3,0,-3,-3,50,50,30,60,60,30,0,0,"[50, 50]","[30, 60]","[60, 30]","[0, 0]"
3083,3,8,3,-1,-1,2,0,3,-1,2,2,0,3,3,0,-1,-1,50,50,30,60,60,30,20,20,"[50, 50]","[30, 60]","[60, 30]","[20, 20]"
3092,3,9,2,1,-1,4,0,3,-1,4,4,0,3,3,0,-1,-1,70,70,30,60,60,30,20,20,"[70, 70]","[30, 60]","[60, 30]","[20, 20]"
3102,3,10,2,1,-3,4,0,3,-3,4,4,0,3,3,0,-3,-3,70,70,30,60,60,30,0,0,"[70, 70]","[30, 60]","[60, 30]","[0, 0]"
3112,3,11,2,3,-3,6,0,3,-3,6,6,0,3,3,0,-3,-3,90,90,30,60,60,30,0,0,"[90, 90]","[30, 60]","[60, 30]","[0, 0]"
3122,3,12,2,3,-1,6,0,3,-1,6,6,0,3,3,0,-1,-1,90,90,30,60,60,30,20,20,"[90, 90]","[30, 60]","[60, 30]","[20, 20]"
3134,3,13,4,3,1,6,0,3,1,6,6,0,3,3,0,1,1,90,90,30,60,60,30,40,40,"[90, 90]","[30, 60]","[60, 30]","[40, 40]"
3144,3,14,4,3,3,6,0,3,3,6,6,0,3,3,0,3,3,90,90,30,60,60,30,60,60,"[90, 90]","[30, 60]","[60, 30]","[60, 60]"
3154,3,15,4,1,3,4,0,3,3,4,4,0,3,3,0,3,3,70,70,30,60,60,30,60,60,"[70, 70]","[30, 60]","[60, 30]","[60, 60]"
3164,3,16,4,1,1,4,0,3,1,4,4,0,3,3,0,1,1,70,70,30,60,60,30,40,40,"[70, 70]","[30, 60]","[60, 30]","[40, 40]"
4011,4,1,1,-1,1,2,0,3,1,2,2,0,3,3,0,1,1,50,50,30,60,60,30,40,40,"[50, 50]","[30, 60]","[60, 30]","[40, 40]"
4021,4,2,1,-1,3,2,-2,3,1,2,2,-2,3,3,-2,1,1,50,50,10,60,60,10,40,40,"[50, 50]","[10, 60]","[60, 10]","[40, 40]"
4031,4,3,1,-3,3,2,-2,5,1,2,2,-2,5,5,-2,1,1,50,50,10,80,80,10,40,40,"[50, 50]","[10, 80]","[80, 10]","[40, 40]"
4041,4,4,1,-3,1,2,0,5,1,2,2,0,5,5,0,1,1,50,50,30,80,80,30,40,40,"[50, 50]","[30, 80]","[80, 30]","[40, 40]"
4053,4,5,3,-3,-1,2,2,5,1,2,2,2,5,5,2,1,1,50,50,50,80,80,50,40,40,"[50, 50]","[50, 80]","[80, 50]","[40, 40]"
4063,4,6,3,-3,-3,2,4,5,1,2,2,4,5,5,4,1,1,50,50,70,80,80,70,40,40,"[50, 50]","[70, 80]","[80, 70]","[40, 40]"
4073,4,7,3,-1,-3,2,4,3,1,2,2,4,3,3,4,1,1,50,50,70,60,60,70,40,40,"[50, 50]","[70, 60]","[60, 70]","[40, 40]"
4083,4,8,3,-1,-1,2,2,3,1,2,2,2,3,3,2,1,1,50,50,50,60,60,50,40,40,"[50, 50]","[50, 60]","[60, 50]","[40, 40]"
4092,4,9,2,1,-1,2,2,1,1,2,2,2,1,1,2,1,1,50,50,50,40,40,50,40,40,"[50, 50]","[50, 40]","[40, 50]","[40, 40]"
4102,4,10,2,1,-3,2,4,1,1,2,2,4,1,1,4,1,1,50,50,70,40,40,70,40,40,"[50, 50]","[70, 40]","[40, 70]","[40, 40]"
4112,4,11,2,3,-3,2,4,-1,1,2,2,4,-1,-1,4,1,1,50,50,70,20,20,70,40,40,"[50, 50]","[70, 20]","[20, 70]","[40, 40]"
4122,4,12,2,3,-1,2,2,-1,1,2,2,2,-1,-1,2,1,1,50,50,50,20,20,50,40,40,"[50, 50]","[50, 20]","[20, 50]","[40, 40]"
4134,4,13,4,3,1,2,0,-1,1,2,2,0,-1,-1,0,1,1,50,50,30,20,20,30,40,40,"[50, 50]","[30, 20]","[20, 30]","[40, 40]"
4144,4,14,4,3,3,2,-2,-1,1,2,2,-2,-1,-1,-2,1,1,50,50,10,20,20,10,40,40,"[50, 50]","[10, 20]","[20, 10]","[40, 40]"
4154,4,15,4,1,3,2,-2,1,1,2,2,-2,1,1,-2,1,1,50,50,10,40,40,10,40,40,"[50, 50]","[10, 40]","[40, 10]","[40, 40]"
4164,4,16,4,1,1,2,0,1,1,2,2,0,1,1,0,1,1,50,50,30,40,40,30,40,40,"[50, 50]","[30, 40]","[40, 30]","[40, 40]"
